"Statistic Label","Year","Item","UNIT","VALUE"
"Expenditure on Gross National Income at Constant Market Prices","2000","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","80699"
"Expenditure on Gross National Income at Constant Market Prices","2000","92a Final consumption expenditure of Households and NPISHs","Euro Million","78793"
"Expenditure on Gross National Income at Constant Market Prices","2000","92b Final consumption expenditure of government","Euro Million","2088"
"Expenditure on Gross National Income at Constant Market Prices","2000","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","27065"
"Expenditure on Gross National Income at Constant Market Prices","2000","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","39650"
"Expenditure on Gross National Income at Constant Market Prices","2000","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","1120"
"Expenditure on Gross National Income at Constant Market Prices","2000","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2000","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","127669"
"Expenditure on Gross National Income at Constant Market Prices","2000","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-117079"
"Expenditure on Gross National Income at Constant Market Prices","2000","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2000","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","171193"
"Expenditure on Gross National Income at Constant Market Prices","2000","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-17387"
"Expenditure on Gross National Income at Constant Market Prices","2000","101. Gross national product at constant market prices","Euro Million","158666"
"Expenditure on Gross National Income at Constant Market Prices","2000","102. EU subsidies - ESA code (D.3)","Euro Million","2835"
"Expenditure on Gross National Income at Constant Market Prices","2000","103. EU taxes - ESA code (D.2)","Euro Million","-351"
"Expenditure on Gross National Income at Constant Market Prices","2000","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","161048"
"Expenditure on Gross National Income at Constant Market Prices","2000","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-16796"
"Expenditure on Gross National Income at Constant Market Prices","2000","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","150571"
"Expenditure on Gross National Income at Constant Market Prices","2001","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","84672"
"Expenditure on Gross National Income at Constant Market Prices","2001","92a Final consumption expenditure of Households and NPISHs","Euro Million","82523"
"Expenditure on Gross National Income at Constant Market Prices","2001","92b Final consumption expenditure of government","Euro Million","2350"
"Expenditure on Gross National Income at Constant Market Prices","2001","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","29727"
"Expenditure on Gross National Income at Constant Market Prices","2001","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","41958"
"Expenditure on Gross National Income at Constant Market Prices","2001","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","439"
"Expenditure on Gross National Income at Constant Market Prices","2001","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2001","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","145553"
"Expenditure on Gross National Income at Constant Market Prices","2001","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-132418"
"Expenditure on Gross National Income at Constant Market Prices","2001","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2001","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","180277"
"Expenditure on Gross National Income at Constant Market Prices","2001","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-21964"
"Expenditure on Gross National Income at Constant Market Prices","2001","101. Gross national product at constant market prices","Euro Million","161598"
"Expenditure on Gross National Income at Constant Market Prices","2001","102. EU subsidies - ESA code (D.3)","Euro Million","2508"
"Expenditure on Gross National Income at Constant Market Prices","2001","103. EU taxes - ESA code (D.2)","Euro Million","-266"
"Expenditure on Gross National Income at Constant Market Prices","2001","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","163750"
"Expenditure on Gross National Income at Constant Market Prices","2001","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-18027"
"Expenditure on Gross National Income at Constant Market Prices","2001","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","151795"
"Expenditure on Gross National Income at Constant Market Prices","2002","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","88045"
"Expenditure on Gross National Income at Constant Market Prices","2002","92a Final consumption expenditure of Households and NPISHs","Euro Million","85523"
"Expenditure on Gross National Income at Constant Market Prices","2002","92b Final consumption expenditure of government","Euro Million","2748"
"Expenditure on Gross National Income at Constant Market Prices","2002","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","31470"
"Expenditure on Gross National Income at Constant Market Prices","2002","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","44289"
"Expenditure on Gross National Income at Constant Market Prices","2002","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","636"
"Expenditure on Gross National Income at Constant Market Prices","2002","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2002","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","154978"
"Expenditure on Gross National Income at Constant Market Prices","2002","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-139487"
"Expenditure on Gross National Income at Constant Market Prices","2002","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2002","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","190912"
"Expenditure on Gross National Income at Constant Market Prices","2002","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-27427"
"Expenditure on Gross National Income at Constant Market Prices","2002","101. Gross national product at constant market prices","Euro Million","165430"
"Expenditure on Gross National Income at Constant Market Prices","2002","102. EU subsidies - ESA code (D.3)","Euro Million","2972"
"Expenditure on Gross National Income at Constant Market Prices","2002","103. EU taxes - ESA code (D.2)","Euro Million","-204"
"Expenditure on Gross National Income at Constant Market Prices","2002","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","168089"
"Expenditure on Gross National Income at Constant Market Prices","2002","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-19748"
